,WORDS,MEANING
1,go off,ออกไป
2,buzzing,เสียงหึ่งๆ
3,right away,ทันที
4,skip,ข้าม
5,scream,กรีดร้อง
6,spooky,น่าขนลุก
7,awesome,สุดยอด
8,trouble,ปัญหา
9,access,เข้าถึง
10,waste,ของเสีย
11,waste of time,เสียเวลาเปล่า
12,awful,แย่มาก
13,apology,คำขอโทษ
14,definition,คำนิยาม
15,inattentive,ไม่ใส่ใจ
16,eudcational,การศึกษา
17,adventure,การผจญภัย
18,yummy,อร่อย
19,appetizer,อาหารเรียกน้ำย่อย
20,foreign,ต่างชาติ
21,hard to tell,ยากที่จะบอก
22,no risk no reward,ไม่มีความเสี่ยงก็ไม่มีผลตอบแทน
23,take a chance,ลองเสี่ยงดู
24,substitution,การทดแทน
25,possible,เป็นไปได้
26,grain,เมล็ดพืช
27,recipe,สูตรอาหาร
28,receipt,ใบเสร็จ
29,authentic,แท้
30,approve,อนุมัติ
31,disapprove,ไม่เห็นด้วย
32,relationship,ความสัมพันธ์
33,promise,สัญญา
34,promising,มีแนวโน้มที่ดี
35,eternal,นิรันดร์
36,beloved,ที่รัก
37,queue,คิว
38,balcony,ระเบียง
39,be supposed to,ควรจะ
40,invite,เชิญ
41,against,ขัดต่อ
42,old-fashioned,แบบเก่า
43,run away,หนีไป
44,"the older, the better",ยิ่งเก่า ยิ่งดี
45,true love knows no age,รักแท้ไม่จำกัดอายุ
46,one picture is worth 1000 words,ภาพหนึ่งภาพมีค่ามากกว่าคำพูดนับพันคำ
47,no one knows the future,ไม่มีใครรู้เรื่องอนาคต
48,get lost,หลงทาง
49,get even,เอาคืน
50,get started,เริ่มต้น
51,get around,เดินทางไปรอบๆ
52,communication,การสื่อสาร
53,confidence,ความมั่นใจ
54,facial,ใบหน้า
55,expression,การแสดงออก
56,jitter,การรดน้ำ
57,initiate,เริ่มต้น
58,conversation,การสนทนา
59,knowledge,ความรู้
60,discussion,การอภิปราย
61,interaction,ปฏิสัมพันธ์
62,importance,ความสำคัญ
63,posture,ท่าทาง
64,eye contact,การสบตา
65,mannerism,มารยาท
66,personal space,พื้นที่ส่วนตัว
67,gesture,ท่าทาง
68,improve,ทำให้ดีขึ้น
69,self-esteem,ความภาคภูมิใจในตนเอง
70,gain,ได้รับ
71,encourage,ให้กำลังใจ
72,positive,เชิงบวก
73,negative,เชิงลบ
74,proud of,ภูมิใจใน
75,verbal,วาจา
76,nonverbal,ไม่ใช้คำพูด
77,increase,เพิ่มขึ้น
78,decrease,ลด
79,comfortable,สะดวกสบาย
80,social,ทางสังคม
81,schedule,กำหนดการ
82,flex class,คลาสยืดหยุ่น
83,complete,สมบูรณ์
84,assignment,งานที่มอบหมาย
85,task,งาน
86,enable,เปิดใช้งาน
87,constructive,สร้างสรรค์
88,destructive,ทำลายล้าง
89,expertise,ความเชี่ยวชาญ
90,credential,ใบรับรอง
91,specialist,ผู้เชี่ยวชาญ
92,major,วิชาเอก
93,psychology,จิตวิทยา
94,counselor,ที่ปรึกษา
95,anger,ความโกรธ
96,manage,จัดการ
97,awareness,การรับรู้
98,academic,เชิงวิชาการ
99,ads,โฆษณา
100,review,ทบทวน
101,reduce,ลด
102,nervousness,ความวิตกกังวล
103,element,องค์ประกอบ
104,effective,มีประสิทธิภาพ
105,speech,คำพูด
106,available,มีอยู่
107,specifically,โดยเฉพาะอย่างยิ่ง
108,job placement,การจัดหางาน
109,accommodation,ที่พัก
110,income,รายได้
111,suport,สนับสนุน
112,network,เครือข่าย
113,sort,เรียงลำดับ
114,earn,ได้รับ
115,broke,แตกหัก
116,culture,วัฒนธรรม
117,guarantee,รับประกัน
118,local,ท้องถิ่น
119,expect,คาดหวัง
120,minimum,ขั้นต่ำ
121,maximum,สูงสุด
122,board,กระดาน
123,babysitting,การดูแลเด็ก
124,outing,ออกไปข้างนอก
125,duty,หน้าที่
126,simple,เรียบง่าย
127,mandatory,บังคับ
128,caretaker,ผู้ดูแล
129,staff,พนักงาน
130,planner,นักวางแผน
131,wage,ค่าจ้าง
132,contact,ติดต่อ
133,requirement,ความต้องการ
134,fee,ค่าธรรมเนียม
135,expense,ค่าใช้จ่าย
136,include,รวม
137,predecessor,ผู้มาก่อน
138,ultimate,สุดยอด
139,huge,ใหญ่
140,display,แสดง
141,operating system,ระบบปฏิบัติการ
142,integrate,บูรณาการ
143,optional,ไม่จำเป็น
144,As a result,ด้วยเหตุนี้
145,excellent,ยอดเยี่ยม
146,device,อุปกรณ์
147,edit,แก้ไข
148,document,เอกสาร
149,productivity,ผลผลิต
150,resolution,ปณิธาน
151,slick,ลื่น
152,replacement,ทดแทน
153,impress,ประทับใจ
154,performance,ผลงาน
